OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
171,26392000,"N,S",MASONIC AVE,TURK ST,INTERSECTION SHARROW,2,8,2019,,,POINT (-122.44703 37.778618),97,7,11,18,97
7,33561000,,7TH AVE,LINCOLN WAY,BIKE SIGNAL,5,7,2016,,,POINT (-122.4643 37.766068),9,7,11,12,9
87,33028000,,13TH ST,ISIS ST,INTERSECTION SHARROW,1,9,2015,,,POINT (-122.41481 37.769554),53,3,10,20,53
187,26350000,,FELL ST,BAKER ST,TWO-STAGE LEFT,1,7,2016,,,POINT (-122.44091 37.773632),24,7,11,9,24
124,25176000,,POLK ST,EDDY ST,BIKE SIGNAL,2,3,2019,,,POINT (-122.41917 37.783096),20,4,10,36,20
131,25208000,,POLK ST,SUTTER ST,BIKE BOX,1,5,2019,,,POINT (-122.420105 37.78775),50,4,3,21,50
35,26347000,,PANHANDLE PATH,MASONIC AVE,BIKE SIGNAL,4,,2008,,,POINT (-122.44586 37.77286),24,7,11,12,24
160,33083000,,BAYSHORE BLVD,MARIN ST,INTERSECTION SHARROW,5,6,2018,,,POINT (-122.40353 37.74811),85,2,9,1,85
64,24353000,,11TH ST,HOWARD ST,TWO-STAGE LEFT,1,,2014,,,POINT (-122.41555 37.773094),32,1,10,34,32
118,26027000,SE,SCOTT ST,OAK ST,BIKE BOX,1,,2006,,,POINT (-122.43574 37.773342),26,4,11,3,26
215,23785000,,16TH ST,MISSISSIPPI ST,BIKE BOX,1,7,2019,,,POINT (-122.39505 37.76654),34,1,9,4,34
4,24055000,,HARRISON ST,TREAT AVE,MIXING ZONE,2,3,2016,,,POINT (-122.41309 37.76544),53,3,2,20,53
1281,24429000,,MARKET ST,8TH ST,INTERSECTION SHARROW,3,1,2020,,,POINT (-122.41473 37.778713),32,5,10,34,32
178,23609000,,INDIANA ST,25TH ST,INTERSECTION SHARROW,2,11,2019,,,POINT (-122.39067 37.75266),56,2,9,1,56
95,25723000,,17TH ST,CHURCH ST,INTERSECTION SHARROW,4,,2014,,,POINT (-122.4285 37.762886),37,3,5,5,37
