OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
75,24274000,,FOLSOM ST,LANGTON ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.40836 37.776314),32,1,10,34,32
169,24308000,,HOWARD ST,GRACE ST,INTERSECTION SHARROW,1,12,2018,,,POINT (-122.41393 37.774372),32,1,10,34,32
81,25996000,,WALLER ST,PIERCE ST,INTERSECTION SHARROW,3,,2012,,,POINT (-122.43353 37.770752),28,7,5,3,28
322,24466000,NE,MCALLISTER ST,VAN NESS AVE,BIKE BOX,1,1,2019,,,POINT (-122.420235 37.78007),21,4,10,36,21
13,27578000,,ARGUELLO BLVD,LAKE ST,MIXING ZONE,1,10,2016,,,POINT (-122.45927 37.786907),4,8,6,31,4
42,30748000,"SW, NE",MARKET ST,VAN NESS AVE,BIKE BOX,2,,2011,,,POINT (-122.41924 37.775143),32,1,10,20,32
29,25474000,,THE EMBARCADERO,NORTH POINT ST,INTERSECTION SHARROW,2,6,2017,,,POINT (-122.40729 37.807377),99,6,3,23,99
126,25178000,,POLK ST,ELLIS ST,BIKE SIGNAL,2,3,2019,,,POINT (-122.41935 37.784023),20,4,10,36,20
143,24201000,,8TH ST,HARRISON ST,BIKE SIGNAL,2,6,2019,,,POINT (-122.4085 37.773754),32,1,10,34,32
62,30746000,"SW, NE",MARKET ST,9TH ST/LARKIN ST,BIKE BOX,2,,2011,,,POINT (-122.416275 37.77749),32,5,10,34,32
56,24429000,,MARKET ST,8TH ST,TWO-STAGE LEFT,2,6,2016,,,POINT (-122.41473 37.778713),32,5,10,34,32
116,23785000,,16TH ST,MISSISSIPPI ST,TWO-STAGE LEFT,1,3,2017,,,POINT (-122.39505 37.76654),34,1,9,4,34
78,30747000,,MARKET ST,11TH ST,INTERSECTION SHARROW,1,,2011,,,POINT (-122.41867 37.77558),32,5,10,34,32
191,54354000,,4TH ST,UNNAMED RD,INTERSECTION SHARROW,2,,2016,,,POINT (-122.39074 37.76637),34,1,10,26,34
102,24289000,,7TH ST,NATOMA ST,INTERSECTION SHARROW,1,4,2017,,,POINT (-122.40993 37.77841),32,1,10,34,32
205,26376000,SE,MASONIC AVE,HAYES ST,BIKE BOX,1,8,2018,,,POINT (-122.446075 37.77393),24,7,11,18,24
214,24199000,,8TH ST,BRYANT ST,INTERSECTION SHARROW,2,6,2019,,,POINT (-122.40695 37.772522),33,1,10,34,33
166,24307000,,HOWARD ST,WASHBURN ST,INTERSECTION SHARROW,1,12,2018,,,POINT (-122.413574 37.774654),32,1,10,34,32
643,23854000,SE,7TH ST,TOWNSEND ST,PROTECTED CORNER,1,8,2019,,,POINT (-122.40164 37.771812),34,1,10,4,34
18,27232000,,ARGUELLO BLVD,CLEMENT ST,MIXING ZONE,1,10,2016,,,POINT (-122.458984 37.783184),11,8,6,31,11
21,27570000,,ARGUELLO BLVD,SACRAMENTO ST,INTERSECTION SHARROW,1,10,2016,,,POINT (-122.45924 37.786617),10,8,6,31,10
14,27562000,,ARGUELLO BLVD,EUCLID AVE,TWO-STAGE LEFT,1,10,2016,,,POINT (-122.45903 37.78382),11,8,6,31,11
112,24299000,,8TH ST,HOWARD ST,MIXING ZONE,1,5,2017,,,POINT (-122.41159 37.776215),32,1,10,34,32
38,25474000,,THE EMBARCADERO,NORTH POINT ST,BIKE SIGNAL,2,6,2017,,,POINT (-122.40729 37.807377),99,6,3,23,99
69,20824000,NE,KANSAS ST,CESAR CHAVEZ ST,BIKE BOX,1,,2012,,,POINT (-122.40205 37.749393),85,2,9,1,85
159,24923000,,TURK ST,JONES ST,BIKE BOX,1,4,2018,,,POINT (-122.4124 37.783),20,5,10,36,20
153,24933000,,TURK ST,HYDE ST,BIKE BOX,1,4,2018,,,POINT (-122.41568 37.78258),20,5,10,36,20
51,25878000,,14TH ST,MARKET ST,INTERSECTION SHARROW,2,,2014,,,POINT (-122.42864 37.76773),37,3,5,5,37
176,23890000,,BRANNAN ST,6TH ST,INTERSECTION SHARROW,2,10,2019,,,POINT (-122.40097 37.774803),32,1,10,4,32
1923,23171000,,20TH AVE,ULLOA ST,INTERSECTION SHARROW,4,10,2020,,,POINT (-122.476616 37.741135),40,10,7,35,40
93,23871000,,8TH ST,TOWNSEND ST,INTERSECTION SHARROW,5,,2015,,,POINT (-122.40386 37.770058),33,1,9,4,33
201,23872000,,8TH ST,BRANNAN ST,BIKE SIGNAL,2,4,2018,,,POINT (-122.40541 37.77129),33,1,10,34,33
17,27578000,,ARGUELLO BLVD,LAKE ST,INTERSECTION SHARROW,1,10,2016,,,POINT (-122.45927 37.786907),4,8,6,31,4
82,25201000,,POLK ST,HEMLOCK ST,INTERSECTION SHARROW,1,5,2019,,,POINT (-122.420006 37.787273),50,4,3,21,50
89,24349000,,13TH ST,FOLSOM ST,INTERSECTION SHARROW,2,9,2015,,,POINT (-122.415565 37.769585),53,3,2,20,53
962,25925000,S,OCTAVIA BLVD,HAYES ST,INTERSECTION SHARROW,1,12,2019,,,POINT (-122.4245 37.776684),22,4,11,9,22
185,24336000,SW,14TH ST,FOLSOM ST,BIKE BOX,1,,2004,10,2016,POINT (-122.4156 37.76853),53,3,2,20,53
